PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24745341","Altered brain connectivity in sagittal craniosynostosis","Beckett JS, Brooks ED, Lacadie C, Vander Wyk B, Jou RJ, Steinbacher DM, Constable RT, Pelphrey KA, Persing JA.","J Neurosurg Pediatr. 2014 Jun;13(6):690-8. doi: 10.3171/2014.3.PEDS13516. Epub 2014 Apr 18.","Beckett JS","J Neurosurg Pediatr","2014","2014/04/22","","","10.3171/2014.3.PEDS13516"
"26684766","Normalization of brain morphology after surgery in sagittal craniosynostosis","Brooks ED, Yang J, Beckett JS, Lacadie C, Scheinost D, Persing S, Zellner EG, Oosting D, Keifer C, Friedman HE, Wyk BV, Jou RJ, Sun H, Gary C, Duncan CC, Constable RT, Pelphrey KA, Persing JA.","J Neurosurg Pediatr. 2016 Apr;17(4):460-8. doi: 10.3171/2015.7.PEDS15221. Epub 2015 Dec 18.","Brooks ED","J Neurosurg Pediatr","2016","2015/12/20","PMC7182140","NIHMS1571039","10.3171/2015.7.PEDS15221"
"27622134","Prenatal stress alters amygdala functional connectivity in preterm neonates","Scheinost D, Kwon SH, Lacadie C, Sze G, Sinha R, Constable RT, Ment LR.","Neuroimage Clin. 2016 Aug 10;12:381-8. doi: 10.1016/j.nicl.2016.08.010. eCollection 2016.","Scheinost D","Neuroimage Clin","2016","2016/09/14","PMC5009231","","10.1016/j.nicl.2016.08.010"
"25981343","Experimental O-space turbo spin echo imaging","Wang H, Tam L, Kopanoglu E, Peters DC, Constable RT, Galiana G.","Magn Reson Med. 2016 Apr;75(4):1654-61. doi: 10.1002/mrm.25741. Epub 2015 May 15.","Wang H","Magn Reson Med","2016","2015/05/19","PMC4644719","NIHMS678812","10.1002/mrm.25741"
"28888152","Altered functional connectivity to stressful stimuli in prenatally cocaine-exposed adolescents","Zakiniaeiz Y, Yip SW, Balodis IM, Lacadie CM, Scheinost D, Constable RT, Mayes LC, Sinha R, Potenza MN.","Drug Alcohol Depend. 2017 Nov 1;180:129-136. doi: 10.1016/j.drugalcdep.2017.07.030. Epub 2017 Aug 19.","Zakiniaeiz Y","Drug Alcohol Depend","2017","2017/09/10","PMC5808433","NIHMS939639","10.1016/j.drugalcdep.2017.07.030"
"28067865","Weak functional connectivity in the human fetal brain prior to preterm birth","Thomason ME, Scheinost D, Manning JH, Grove LE, Hect J, Marshall N, Hernandez-Andrade E, Berman S, Pappas A, Yeo L, Hassan SS, Constable RT, Ment LR, Romero R.","Sci Rep. 2017 Jan 9;7:39286. doi: 10.1038/srep39286.","Thomason ME","Sci Rep","2017","2017/01/10","PMC5221666","","10.1038/srep39286"
"33585666","A guide to the measurement and interpretation of fMRI test-retest reliability","Noble S, Scheinost D, Constable RT.","Curr Opin Behav Sci. 2021 Aug;40:27-32. doi: 10.1016/j.cobeha.2020.12.012. Epub 2021 Jan 20.","Noble S","Curr Opin Behav Sci","2021","2021/02/15","PMC7875178","NIHMS1665394","10.1016/j.cobeha.2020.12.012"
"31016782","Dynamic-flip-angle ECG-gating with nuisance signal regression improves resting-state BOLD functional connectivity mapping by reducing cardiogenic noise","Hu C, Tokoglu F, Scheinost D, Qiu M, Shen X, Peters DC, Galiana G, Constable RT.","Magn Reson Med. 2019 Sep;82(3):911-923. doi: 10.1002/mrm.27775. Epub 2019 Apr 24.","Hu C","Magn Reson Med","2019","2019/04/25","","","10.1002/mrm.27775"
"22759337","Ipsilateral synkinesia involves the supplementary motor area","Salardini A, Narayanan NS, Arora J, Constable T, Jabbari B.","Neurosci Lett. 2012 Aug 15;523(2):135-8. doi: 10.1016/j.neulet.2012.06.060. Epub 2012 Jul 1.","Salardini A","Neurosci Lett","2012","2012/07/05","PMC3836003","NIHMS532073","10.1016/j.neulet.2012.06.060"
"26021218","The (in)stability of functional brain network measures across thresholds","Garrison KA, Scheinost D, Finn ES, Shen X, Constable RT.","Neuroimage. 2015 Sep;118:651-61. doi: 10.1016/j.neuroimage.2015.05.046. Epub 2015 May 27.","Garrison KA","Neuroimage","2015","2015/05/30","PMC4554838","NIHMS694303","10.1016/j.neuroimage.2015.05.046"
"24970028","GABA, resting-state connectivity and the developing brain","Kwon SH, Scheinost D, Lacadie C, Benjamin J, Myers EH, Qiu M, Schneider KC, Rothman DL, Constable RT, Ment LR.","Neonatology. 2014;106(2):149-55. doi: 10.1159/000362433. Epub 2014 Jun 26.","Kwon SH","Neonatology","2014","2014/06/28","PMC4134402","NIHMS582324","10.1159/000362433"
"33932337","Brainhack: Developing a culture of open, inclusive, community-driven neuroscience","Gau R, Noble S, Heuer K, Bottenhorn KL, Bilgin IP, Yang YF, Huntenburg JM, Bayer JMM, Bethlehem RAI, Rhoads SA, Vogelbacher C, Borghesani V, Levitis E, Wang HT, Van Den Bossche S, Kobeleva X, Legarreta JH, Guay S, Atay SM, Varoquaux GP, Huijser DC, Sandström MS, Herholz P, Nastase SA, Badhwar A, Dumas G, Schwab S, Moia S, Dayan M, Bassil Y, Brooks PP, Mancini M, Shine JM, O'Connor D, Xie X, Poggiali D, Friedrich P, Heinsfeld AS, Riedl L, Toro R, Caballero-Gaudes C, Eklund A, Garner KG, Nolan CR, Demeter DV, Barrios FA, Merchant JS, McDevitt EA, Oostenveld R, Craddock RC, Rokem A, Doyle A, Ghosh SS, Nikolaidis A, Stanley OW, Uruñuela E; Brainhack Community.","Neuron. 2021 Jun 2;109(11):1769-1775. doi: 10.1016/j.neuron.2021.04.001. Epub 2021 Apr 30.","Gau R","Neuron","2021","2021/05/01","","","10.1016/j.neuron.2021.04.001"
"29106329","The NAIMS cooperative pilot project: Design, implementation and future directions","Oh J, Bakshi R, Calabresi PA, Crainiceanu C, Henry RG, Nair G, Papinutto N, Constable RT, Reich DS, Pelletier D, Rooney W, Schwartz D, Tagge I, Shinohara RT, Simon JH, Sicotte NL; NAIMS Cooperative Steering Committee.","Mult Scler. 2018 Nov;24(13):1770-1772. doi: 10.1177/1352458517739990. Epub 2017 Nov 6.","Oh J","Mult Scler","2018","2017/11/07","PMC5878974","NIHMS912428","10.1177/1352458517739990"
"27981033","Cingulate cortex functional connectivity predicts future relapse in alcohol dependent individuals","Zakiniaeiz Y, Scheinost D, Seo D, Sinha R, Constable RT.","Neuroimage Clin. 2016 Nov 1;13:181-187. doi: 10.1016/j.nicl.2016.10.019. eCollection 2017.","Zakiniaeiz Y","Neuroimage Clin","2016","2016/12/17","PMC5144743","","10.1016/j.nicl.2016.10.019"
"33309003","Corrigendum to ""Behavioral and brain signatures of substance use vulnerability in childhood"" [Developmental Cognitive Neuroscience 46 (December) (2020) 100878]","Rapuano KM, Rosenberg MD, Maza MT, Dennis NJ, Dorji M, Greene AS, Horien C, Scheinost D, Todd Constable R, Casey BJ.","Dev Cogn Neurosci. 2021 Feb;47:100891. doi: 10.1016/j.dcn.2020.100891. Epub 2020 Dec 9.","Rapuano KM","Dev Cogn Neurosci","2021","2020/12/14","PMC7838042","","10.1016/j.dcn.2020.100891"
"29381484","Hypoglycemia unawareness in type 1 diabetes suppresses brain responses to hypoglycemia","Hwang JJ, Parikh L, Lacadie C, Seo D, Lam W, Hamza M, Schmidt C, Dai F, Sejling AS, Belfort-DeAguiar R, Constable RT, Sinha R, Sherwin R.","J Clin Invest. 2018 Apr 2;128(4):1485-1495. doi: 10.1172/JCI97696. Epub 2018 Mar 5.","Hwang JJ","J Clin Invest","2018","2018/01/31","PMC5873861","","10.1172/JCI97696"
"31010580","The Functional Brain Organization of an Individual Allows Prediction of Measures of Social Abilities Transdiagnostically in Autism and Attention-Deficit/Hyperactivity Disorder","Lake EMR, Finn ES, Noble SM, Vanderwal T, Shen X, Rosenberg MD, Spann MN, Chun MM, Scheinost D, Constable RT.","Biol Psychiatry. 2019 Aug 15;86(4):315-326. doi: 10.1016/j.biopsych.2019.02.019. Epub 2019 Mar 7.","Lake EMR","Biol Psychiatry","2019","2019/04/24","PMC7311928","NIHMS1589764","10.1016/j.biopsych.2019.02.019"
"28150390","Gray-matter relationships to diagnostic and transdiagnostic features of drug and behavioral addictions","Yip SW, Worhunsky PD, Xu J, Morie KP, Constable RT, Malison RT, Carroll KM, Potenza MN.","Addict Biol. 2018 Jan;23(1):394-402. doi: 10.1111/adb.12492. Epub 2017 Feb 1.","Yip SW","Addict Biol","2018","2017/02/03","PMC5538947","NIHMS864282","10.1111/adb.12492"
"29795116","Trait paranoia shapes inter-subject synchrony in brain activity during an ambiguous social narrative","Finn ES, Corlett PR, Chen G, Bandettini PA, Constable RT.","Nat Commun. 2018 May 23;9(1):2043. doi: 10.1038/s41467-018-04387-2.","Finn ES","Nat Commun","2018","2018/05/26","PMC5966466","","10.1038/s41467-018-04387-2"
"21255705","Microstructural and functional connectivity in the developing preterm brain","Lubsen J, Vohr B, Myers E, Hampson M, Lacadie C, Schneider KC, Katz KH, Constable RT, Ment LR.","Semin Perinatol. 2011 Feb;35(1):34-43. doi: 10.1053/j.semperi.2010.10.006.","Lubsen J","Semin Perinatol","2011","2011/01/25","PMC3063450","NIHMS260313","10.1053/j.semperi.2010.10.006"
"34272957","Functional Connectivity during Encoding Predicts Individual Differences in Long-Term Memory","Lin Q, Yoo K, Shen X, Constable TR, Chun MM.","J Cogn Neurosci. 2021 Oct 1;33(11):2279-2296. doi: 10.1162/jocn_a_01759.","Lin Q","J Cogn Neurosci","2021","2021/07/17","PMC8497062","","10.1162/jocn_a_01759"
"34142458","Using functional connectivity models to characterize relationships between working and episodic memory","Stark GF, Avery EW, Rosenberg MD, Greene AS, Gao S, Scheinost D, Todd Constable R, Chun MM, Yoo K.","Brain Behav. 2021 Aug;11(8):e02105. doi: 10.1002/brb3.2105. Epub 2021 Jun 17.","Stark GF","Brain Behav","2021","2021/06/18","PMC8413720","","10.1002/brb3.2105"
"29381374","Humans with obesity have disordered brain responses to food images during physiological hyperglycemia","Belfort-DeAguiar R, Seo D, Lacadie C, Naik S, Schmidt C, Lam W, Hwang J, Constable T, Sinha R, Sherwin RS.","Am J Physiol Endocrinol Metab. 2018 May 1;314(5):E522-E529. doi: 10.1152/ajpendo.00335.2017. Epub 2018 Jan 30.","Belfort-DeAguiar R","Am J Physiol Endocrinol Metab","2018","2018/01/31","PMC6048387","","10.1152/ajpendo.00335.2017"
"29253655","Considering factors affecting the connectome-based identification process: Comment on Waller et al","Horien C, Noble S, Finn ES, Shen X, Scheinost D, Constable RT.","Neuroimage. 2018 Apr 1;169:172-175. doi: 10.1016/j.neuroimage.2017.12.045. Epub 2017 Dec 15.","Horien C","Neuroimage","2018","2017/12/19","PMC5856612","NIHMS930969","10.1016/j.neuroimage.2017.12.045"
"29528160","Presurgical language fMRI: Clinical practices and patient outcomes in epilepsy surgical planning","Benjamin CFA, Li AX, Blumenfeld H, Constable RT, Alkawadri R, Bickel S, Helmstaedter C, Meletti S, Bronen R, Warfield SK, Peters JM, Reutens D, Połczyńska M, Spencer DD, Hirsch LJ.","Hum Brain Mapp. 2018 Jul;39(7):2777-2785. doi: 10.1002/hbm.24039. Epub 2018 Mar 12.","Benjamin CFA","Hum Brain Mapp","2018","2018/03/13","PMC6033659","NIHMS950689","10.1002/hbm.24039"
"30128279","Exploring the prediction of emotional valence and pharmacologic effect across fMRI studies of antidepressants","Barron DS, Salehi M, Browning M, Harmer CJ, Constable RT, Duff E.","Neuroimage Clin. 2018 Aug 11;20:407-414. doi: 10.1016/j.nicl.2018.08.016. eCollection 2018.","Barron DS","Neuroimage Clin","2018","2018/08/22","PMC6096053","","10.1016/j.nicl.2018.08.016"
"33534301","Functional Network Development in Sagittal Craniosynostosis Treated With Whole Vault Cranioplasty","Cabrejo R, Lacadie C, Sun A, Chuang C, Yang J, Brooks E, Beckett J, Eilbott J, Gabrick K, Steinbacher D, Duncan C, DiLuna M, Alperovich M, Pelphrey K, Ventola P, Constable T, Persing JA.","J Craniofac Surg. 2021 Jul-Aug 01;32(5):1721-1726. doi: 10.1097/SCS.0000000000007505.","Cabrejo R","J Craniofac Surg","2021","2021/02/03","","","10.1097/SCS.0000000000007505"
"28968754","Influences on the Test-Retest Reliability of Functional Connectivity MRI and its Relationship with Behavioral Utility","Noble S, Spann MN, Tokoglu F, Shen X, Constable RT, Scheinost D.","Cereb Cortex. 2017 Nov 1;27(11):5415-5429. doi: 10.1093/cercor/bhx230.","Noble S","Cereb Cortex","2017","2017/10/03","PMC6248395","","10.1093/cercor/bhx230"
"26887916","Metonymy as Referential Dependency: Psycholinguistic and Neurolinguistic Arguments for a Unified Linguistic Treatment","Piñango MM, Zhang M, Foster-Hanson E, Negishi M, Lacadie C, Constable RT.","Cogn Sci. 2017 Mar;41 Suppl 2:351-378. doi: 10.1111/cogs.12341. Epub 2016 Feb 17.","Piñango MM","Cogn Sci","2017","2016/02/19","","","10.1111/cogs.12341"
"25528658","Adaptive mechanisms of developing brain: cerebral lateralization in the prematurely-born","Kwon SH, Scheinost D, Lacadie C, Sze G, Schneider KC, Dai F, Constable RT, Ment LR.","Neuroimage. 2015 Mar;108:144-50. doi: 10.1016/j.neuroimage.2014.12.032. Epub 2014 Dec 17.","Kwon SH","Neuroimage","2015","2014/12/22","PMC4324328","NIHMS650723","10.1016/j.neuroimage.2014.12.032"
"25523617","Sex differences in normal age trajectories of functional brain networks","Scheinost D, Finn ES, Tokoglu F, Shen X, Papademetris X, Hampson M, Constable RT.","Hum Brain Mapp. 2015 Apr;36(4):1524-35. doi: 10.1002/hbm.22720. Epub 2014 Dec 18.","Scheinost D","Hum Brain Mapp","2015","2014/12/20","PMC5522589","NIHMS882626","10.1002/hbm.22720"
"28367515","Shared microstructural features of behavioral and substance addictions revealed in areas of crossing fibers","Yip SW, Morie KP, Xu J, Constable RT, Malison RT, Carroll KM, Potenza MN.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2017 Mar;2(2):188-195. doi: 10.1016/j.bpsc.2016.03.001.","Yip SW","Biol Psychiatry Cogn Neurosci Neuroimaging","2017","2017/04/04","PMC5373810","NIHMS769619","10.1016/j.bpsc.2016.03.001"
"24459076","Multiecho acquisition of O-space data","Galiana G, Peters D, Tam L, Constable RT.","Magn Reson Med. 2014 Dec;72(6):1648-57. doi: 10.1002/mrm.25085. Epub 2014 Jan 23.","Galiana G","Magn Reson Med","2014","2014/01/25","PMC4108571","NIHMS548654","10.1002/mrm.25085"
"27207544","Altered Brain Response to Drinking Glucose and Fructose in Obese Adolescents","Jastreboff AM, Sinha R, Arora J, Giannini C, Kubat J, Malik S, Van Name MA, Santoro N, Savoye M, Duran EJ, Pierpont B, Cline G, Constable RT, Sherwin RS, Caprio S.","Diabetes. 2016 Jul;65(7):1929-39. doi: 10.2337/db15-1216. Epub 2016 Apr 5.","Jastreboff AM","Diabetes","2016","2016/05/22","PMC5384636","","10.2337/db15-1216"
"26937383","Language at rest: A longitudinal study of intrinsic functional connectivity in preterm children","Rowlands MA, Scheinost D, Lacadie C, Vohr B, Li F, Schneider KC, Todd Constable R, Ment LR.","Neuroimage Clin. 2016 Jan 21;11:149-157. doi: 10.1016/j.nicl.2016.01.016. eCollection 2016.","Rowlands MA","Neuroimage Clin","2016","2016/03/04","PMC4753807","","10.1016/j.nicl.2016.01.016"
"24464717","Functional MRI signal fluctuations: a preclinical biomarker for cognitive impairment in type 2 diabetes?","Belfort-Deaguiar R, Constable RT, Sherwin RS.","Diabetes. 2014 Feb;63(2):396-8. doi: 10.2337/db13-1685.","Belfort-Deaguiar R","Diabetes","2014","2014/01/28","PMC4179310","","10.2337/db13-1685"
"26761637","Diffusion Tensor Imaging in Patients with Glioblastoma Multiforme Using the Supertoroidal Model","Mekkaoui C, Metellus P, Kostis WJ, Martuzzi R, Pereira FR, Beregi JP, Reese TG, Constable TR, Jackowski MP.","PLoS One. 2016 Jan 13;11(1):e0146693. doi: 10.1371/journal.pone.0146693. eCollection 2016.","Mekkaoui C","PLoS One","2016","2016/01/14","PMC4711969","","10.1371/journal.pone.0146693"
"24944863","BOLD signal and functional connectivity associated with loving kindness meditation","Garrison KA, Scheinost D, Constable RT, Brewer JA.","Brain Behav. 2014 May;4(3):337-47. doi: 10.1002/brb3.219. Epub 2014 Feb 12.","Garrison KA","Brain Behav","2014","2014/06/20","PMC4055184","","10.1002/brb3.219"
"22572517","The relationship between phonological and auditory processing and brain organization in beginning readers","Pugh KR, Landi N, Preston JL, Mencl WE, Austin AC, Sibley D, Fulbright RK, Seidenberg MS, Grigorenko EL, Constable RT, Molfese P, Frost SJ.","Brain Lang. 2013 May;125(2):173-83. doi: 10.1016/j.bandl.2012.04.004. Epub 2012 May 7.","Pugh KR","Brain Lang","2013","2012/05/11","PMC3417084","NIHMS371683","10.1016/j.bandl.2012.04.004"
"21421063","Impaired attention and network connectivity in childhood absence epilepsy","Killory BD, Bai X, Negishi M, Vega C, Spann MN, Vestal M, Guo J, Berman R, Danielson N, Trejo J, Shisler D, Novotny EJ Jr, Constable RT, Blumenfeld H.","Neuroimage. 2011 Jun 15;56(4):2209-17. doi: 10.1016/j.neuroimage.2011.03.036. Epub 2011 Mar 21.","Killory BD","Neuroimage","2011","2011/03/23","PMC3105167","NIHMS289447","10.1016/j.neuroimage.2011.03.036"
"29122720","Connectome-based predictive modeling of attention: Comparing different functional connectivity features and prediction methods across datasets","Yoo K, Rosenberg MD, Hsu WT, Zhang S, Li CR, Scheinost D, Constable RT, Chun MM.","Neuroimage. 2018 Feb 15;167:11-22. doi: 10.1016/j.neuroimage.2017.11.010. Epub 2017 Nov 6.","Yoo K","Neuroimage","2018","2017/11/11","PMC5845789","NIHMS921786","10.1016/j.neuroimage.2017.11.010"
"23636842","Disrupted ventromedial prefrontal function, alcohol craving, and subsequent relapse risk","Seo D, Lacadie CM, Tuit K, Hong KI, Constable RT, Sinha R.","JAMA Psychiatry. 2013 Jul;70(7):727-39. doi: 10.1001/jamapsychiatry.2013.762.","Seo D","JAMA Psychiatry","2013","2013/05/03","PMC3788824","NIHMS501817","10.1001/jamapsychiatry.2013.762"
"27746748","The Localization of Long-Distance Dependency Components: Integrating the Focal-lesion and Neuroimaging Record","Piñango MM, Finn E, Lacadie C, Constable RT.","Front Psychol. 2016 Sep 30;7:1434. doi: 10.3389/fpsyg.2016.01434. eCollection 2016.","Piñango MM","Front Psychol","2016","2016/10/18","PMC5043422","","10.3389/fpsyg.2016.01434"
"25821147","Reliability of an fMRI paradigm for emotional processing in a multisite longitudinal study","Gee DG, McEwen SC, Forsyth JK, Haut KM, Bearden CE, Addington J, Goodyear B, Cadenhead KS, Mirzakhanian H, Cornblatt BA, Olvet D, Mathalon DH, McGlashan TH, Perkins DO, Belger A, Seidman LJ, Thermenos H, Tsuang MT, van Erp TG, Walker EF, Hamann S, Woods SW, Constable T, Cannon TD.","Hum Brain Mapp. 2015 Jul;36(7):2558-79. doi: 10.1002/hbm.22791. Epub 2015 Mar 28.","Gee DG","Hum Brain Mapp","2015","2015/03/31","PMC4478164","NIHMS691497","10.1002/hbm.22791"
"34163088","Author Correction: Simultaneous cortex-wide fluorescence Ca(2+) imaging and whole-brain fMRI","Lake EMR, Ge X, Shen X, Herman P, Hyder F, Cardin JA, Higley MJ, Scheinost D, Papademetris X, Crair MC, Constable RT.","Nat Methods. 2021 Jul;18(7):835. doi: 10.1038/s41592-021-01217-0.","Lake EMR","Nat Methods","2021","2021/06/24","","","10.1038/s41592-021-01217-0"
"17444510","Age-related changes in reading systems of dyslexic children","Shaywitz BA, Skudlarski P, Holahan JM, Marchione KE, Constable RT, Fulbright RK, Zelterman D, Lacadie C, Shaywitz SE.","Ann Neurol. 2007 Apr;61(4):363-70. doi: 10.1002/ana.21093.","Shaywitz BA","Ann Neurol","2007","2007/04/21","","","10.1002/ana.21093"
"25904238","Meditation leads to reduced default mode network activity beyond an active task","Garrison KA, Zeffiro TA, Scheinost D, Constable RT, Brewer JA.","Cogn Affect Behav Neurosci. 2015 Sep;15(3):712-20. doi: 10.3758/s13415-015-0358-3.","Garrison KA","Cogn Affect Behav Neurosci","2015","2015/04/24","PMC4529365","NIHMS684151","10.3758/s13415-015-0358-3"
"22982585","A left cerebellar pathway mediates language in prematurely-born young adults","Constable RT, Vohr BR, Scheinost D, Benjamin JR, Fulbright RK, Lacadie C, Schneider KC, Katz KH, Zhang H, Papademetris X, Ment LR.","Neuroimage. 2013 Jan 1;64:371-8. doi: 10.1016/j.neuroimage.2012.09.008. Epub 2012 Sep 12.","Constable RT","Neuroimage","2013","2012/09/18","PMC3508203","NIHMS407666","10.1016/j.neuroimage.2012.09.008"
"22041535","Lateral ventricle volume and psychotic features in adolescents and adults with bipolar disorder","Edmiston EE, Wang F, Kalmar JH, Womer FY, Chepenik LG, Pittman B, Gueorguieva R, Hur E, Spencer L, Staib LH, Constable RT, Fulbright RK, Papademetris X, Blumberg HP.","Psychiatry Res. 2011 Dec 30;194(3):400-402. doi: 10.1016/j.pscychresns.2011.07.005. Epub 2011 Oct 30.","Edmiston EE","Psychiatry Res","2011","2011/11/02","PMC3225709","NIHMS314620","10.1016/j.pscychresns.2011.07.005"
"26604857","The Role of Nonlinear Gradients in Parallel Imaging: A k-Space Based Analysis","Galiana G, Stockmann JP, Tam L, Peters D, Tagare H, Constable RT.","Concepts Magn Reson Part A Bridg Educ Res. 2012 Sep;40A(5):253-267. doi: 10.1002/cmr.a.21243. Epub 2012 Sep 26.","Galiana G","Concepts Magn Reson Part A Bridg Educ Res","2012","2015/11/26","PMC4655121","NIHMS716437","10.1002/cmr.a.21243"
"22984460","Intrinsic brain connectivity related to age in young and middle aged adults","Hampson M, Tokoglu F, Shen X, Scheinost D, Papademetris X, Constable RT.","PLoS One. 2012;7(9):e44067. doi: 10.1371/journal.pone.0044067. Epub 2012 Sep 11.","Hampson M","PLoS One","2012","2012/09/18","PMC3439483","","10.1371/journal.pone.0044067"
"17182784","Brain connectivity related to working memory performance","Hampson M, Driesen NR, Skudlarski P, Gore JC, Constable RT.","J Neurosci. 2006 Dec 20;26(51):13338-43. doi: 10.1523/JNEUROSCI.3408-06.2006.","Hampson M","J Neurosci","2006","2006/12/22","PMC2677699","NIHMS108247","10.1523/JNEUROSCI.3408-06.2006"
"28617996","Gradient nonlinearity effects on upper cervical spinal cord area measurement from 3D T(1) -weighted brain MRI acquisitions","Papinutto N, Bakshi R, Bischof A, Calabresi PA, Caverzasi E, Constable RT, Datta E, Kirkish G, Nair G, Oh J, Pelletier D, Pham DL, Reich DS, Rooney W, Roy S, Schwartz D, Shinohara RT, Sicotte NL, Stern WA, Tagge I, Tauhid S, Tummala S, Henry RG; North American Imaging in Multiple Sclerosis Cooperative(NAIMS).","Magn Reson Med. 2018 Mar;79(3):1595-1601. doi: 10.1002/mrm.26776. Epub 2017 Jun 15.","Papinutto N","Magn Reson Med","2018","2017/06/16","PMC6175276","NIHMS989253","10.1002/mrm.26776"
"27541328","Fluctuations in Global Brain Activity Are Associated With Changes in Whole-Brain Connectivity of Functional Networks","Scheinost D, Tokoglu F, Shen X, Finn ES, Noble S, Papademetris X, Constable RT.","IEEE Trans Biomed Eng. 2016 Dec;63(12):2540-2549. doi: 10.1109/TBME.2016.2600248. Epub 2016 Aug 16.","Scheinost D","IEEE Trans Biomed Eng","2016","2016/08/20","PMC5180443","NIHMS831856","10.1109/TBME.2016.2600248"
"18572418","More accurate Talairach coordinates for neuroimaging using non-linear registration","Lacadie CM, Fulbright RK, Rajeevan N, Constable RT, Papademetris X.","Neuroimage. 2008 Aug 15;42(2):717-25. doi: 10.1016/j.neuroimage.2008.04.240. Epub 2008 Apr 30.","Lacadie CM","Neuroimage","2008","2008/06/24","PMC2603575","NIHMS67591","10.1016/j.neuroimage.2008.04.240"
"22000597","BOLD response to semantic and syntactic processing during hypoglycemia is load-dependent","Schafer RJ, Page KA, Arora J, Sherwin R, Constable RT.","Brain Lang. 2012 Jan;120(1):1-14. doi: 10.1016/j.bandl.2011.07.003. Epub 2011 Oct 13.","Schafer RJ","Brain Lang","2012","2011/10/18","","","10.1016/j.bandl.2011.07.003"
"26995796","Functional Connectivity During Exposure to Favorite-Food, Stress, and Neutral-Relaxing Imagery Differs Between Smokers and Nonsmokers","Garrison KA, Sinha R, Lacadie CM, Scheinost D, Jastreboff AM, Constable RT, Potenza MN.","Nicotine Tob Res. 2016 Sep;18(9):1820-9. doi: 10.1093/ntr/ntw088. Epub 2016 Mar 19.","Garrison KA","Nicotine Tob Res","2016","2016/03/21","PMC4978981","","10.1093/ntr/ntw088"
"25391304","Altered functional connectivity in seizure onset zones revealed by fMRI intrinsic connectivity","Lee HW, Arora J, Papademetris X, Tokoglu F, Negishi M, Scheinost D, Farooque P, Blumenfeld H, Spencer DD, Constable RT.","Neurology. 2014 Dec 9;83(24):2269-77. doi: 10.1212/WNL.0000000000001068. Epub 2014 Nov 12.","Lee HW","Neurology","2014","2014/11/14","PMC4277677","","10.1212/WNL.0000000000001068"
"24657356","The impact of image smoothness on intrinsic functional connectivity and head motion confounds","Scheinost D, Papademetris X, Constable RT.","Neuroimage. 2014 Jul 15;95:13-21. doi: 10.1016/j.neuroimage.2014.03.035. Epub 2014 Mar 20.","Scheinost D","Neuroimage","2014","2014/03/25","PMC4076413","NIHMS579225","10.1016/j.neuroimage.2014.03.035"
"23684866","Real-time fMRI links subjective experience with brain activity during focused attention","Garrison KA, Scheinost D, Worhunsky PD, Elwafi HM, Thornhill TA 4th, Thompson E, Saron C, Desbordes G, Kober H, Hampson M, Gray JR, Constable RT, Papademetris X, Brewer JA.","Neuroimage. 2013 Nov 1;81:110-118. doi: 10.1016/j.neuroimage.2013.05.030. Epub 2013 May 17.","Garrison KA","Neuroimage","2013","2013/05/21","PMC3729617","NIHMS482467","10.1016/j.neuroimage.2013.05.030"
"22297729","Real-time fMRI biofeedback targeting the orbitofrontal cortex for contamination anxiety","Hampson M, Stoica T, Saksa J, Scheinost D, Qiu M, Bhawnani J, Pittenger C, Papademetris X, Constable T.","J Vis Exp. 2012 Jan 20;(59):3535. doi: 10.3791/3535.","Hampson M","J Vis Exp","2012","2012/02/03","PMC3462579","","10.3791/3535"
"16272876","Amygdala gray matter concentration is associated with extraversion and neuroticism","Omura K, Todd Constable R, Canli T.","Neuroreport. 2005 Nov 28;16(17):1905-8. doi: 10.1097/01.wnr.0000186596.64458.76.","Omura K","Neuroreport","2005","2005/11/08","","","10.1097/01.wnr.0000186596.64458.76"
"19306061","Phonological awareness predicts activation patterns for print and speech","Frost SJ, Landi N, Mencl WE, Sandak R, Fulbright RK, Tejada ET, Jacobsen L, Grigorenko EL, Constable RT, Pugh KR.","Ann Dyslexia. 2009 Jun;59(1):78-97. doi: 10.1007/s11881-009-0024-y. Epub 2009 Mar 21.","Frost SJ","Ann Dyslexia","2009","2009/03/24","PMC2720826","NIHMS125138","10.1007/s11881-009-0024-y"
"24124929","Disruption of functional networks in dyslexia: a whole-brain, data-driven analysis of connectivity","Finn ES, Shen X, Holahan JM, Scheinost D, Lacadie C, Papademetris X, Shaywitz SE, Shaywitz BA, Constable RT.","Biol Psychiatry. 2014 Sep 1;76(5):397-404. doi: 10.1016/j.biopsych.2013.08.031. Epub 2013 Oct 11.","Finn ES","Biol Psychiatry","2014","2013/10/16","PMC3984371","NIHMS524284","10.1016/j.biopsych.2013.08.031"
